# gx gy gz (ECEF center)
# id px py pz (point data)
-3957728.165612000040710 3356753.974301999900490 3695668.189168000128120
0 -8.084372 92.459579 -75.676399
1 -7.863755 92.545746 -75.420731
2 3.596994 114.323112 -81.543930
3 7.817033 120.100174 -90.103409
4 -7.463481 93.828331 -84.247536
5 4.407069 114.383080 -83.117409
6 -6.181182 89.724388 -79.240143
7 12.619758 115.522652 -80.604050
8 -5.216590 92.718727 -73.680595
9 -4.441425 92.883659 -73.049957
10 -1.852011 94.099052 -70.900398
11 -9.242969 87.352089 -79.526413
12 -1.828324 94.606865 -71.361580
13 -9.712329 86.447685 -78.454941
14 27.991676 132.560730 -71.576523
15 -9.730247 86.122986 -78.828827
16 -9.607197 86.987831 -79.468376
17 34.886375 135.307037 -71.054520
18 -8.490932 89.688026 -81.625534
19 -7.095820 85.739456 -77.316803
20 1.519444 91.215324 -72.561172
21 -8.789993 84.304176 -78.742104
22 -7.941388 88.019981 -81.485039
23 -7.545390 95.057793 -87.112473
24 -8.791124 83.463585 -78.423210
25 -9.103396 87.082619 -79.182411
26 -9.083964 86.843964 -78.961853
27 12.690365 158.252197 -98.660690
28 9.907616 124.990219 -91.069984
29 10.927090 125.584076 -92.636909
30 -8.329524 86.430405 -80.455894
31 -5.563270 92.735542 -73.921135
32 -2.180908 94.099922 -70.906311
33 -4.619324 93.469917 -73.813751
34 -0.606401 93.834839 -70.839249
35 21.939365 177.779770 -97.305519
36 -10.329425 90.292679 -81.809883
37 -9.297830 87.933449 -79.322784
38 2.628628 103.337570 -77.472336
39 -9.294920 86.415176 -79.107910
40 -8.077291 90.195381 -82.279488
41 10.026972 121.177567 -89.668541
42 6.295784 109.556618 -85.340805
43 -8.530492 86.023849 -80.359032
44 -8.380515 86.430649 -80.498947
45 0.356667 146.737885 -104.369270
46 26.198582 208.079681 -106.955536
47 8.829341 124.454048 -89.196358
48 6.277551 103.034767 -77.283218
49 1.850914 141.578369 -100.208344
50 20.326225 175.106232 -98.895775
51 8.535600 111.595276 -82.881454
52 -2.536060 93.888954 -71.262604
53 6.200062 125.280266 -84.327385
54 10.025388 118.161491 -82.197762
55 -7.896078 90.166382 -82.645897
56 -5.819337 92.674309 -74.544434
57 -5.081395 93.535362 -74.163643
58 -0.663373 94.031052 -70.500801
59 -13.607049 98.210892 -89.798210
60 0.243547 92.057831 -72.056053
61 19.493570 123.528709 -78.244896
62 -4.924653 97.946159 -84.814682
