# gx gy gz (ECEF center)
# id px py pz (point data)
-3957807.463847000151873 3357257.015753999818116 3695139.802271000109613
0 18.974957 56.916634 -30.645882
1 25.260590 64.217781 -26.562468
2 18.068590 58.551323 -29.520889
3 17.866613 59.747982 -28.762550
4 40.204300 98.219193 -32.130219
5 18.891870 71.782288 -37.624668
6 20.613426 62.938942 -36.768890
7 17.050964 71.425537 -34.773567
8 16.627819 56.054317 -28.064186
9 35.309109 90.290443 -28.261923
10 37.811459 92.140076 -29.152287
11 18.617590 57.266525 -30.989931
12 19.228535 57.412853 -29.915995
13 34.112202 78.927643 -29.507879
14 21.927042 69.214439 -25.200863
15 14.753060 59.041664 -30.896294
16 16.827194 53.983654 -31.192326
17 14.735793 60.216785 -29.365501
18 15.416144 58.975056 -30.210659
19 35.911186 87.487686 -26.817638
20 18.752035 57.859539 -30.500221
21 21.892954 69.246620 -39.350609
22 21.203775 69.407692 -24.696783
23 13.089874 55.606087 -30.733780
24 14.947366 58.618542 -28.859962
25 34.171001 89.088684 -24.570366
26 36.967659 87.041924 -27.782097
27 15.930610 55.693417 -32.176361
28 16.612967 57.137703 -32.889668
29 17.293715 56.849876 -31.953531
30 16.866003 53.834579 -32.649456
31 19.884233 64.166191 -37.051727
32 19.479807 56.556805 -30.651030
33 21.574678 69.937637 -24.041441
34 31.198090 99.307480 -22.603531
35 30.848999 92.427422 -21.576138
36 13.234193 56.328991 -30.565454
37 14.327813 60.839272 -33.487270
38 33.521755 80.919144 -24.097813
39 15.868855 57.977745 -31.846317
40 16.634335 58.150475 -31.142708
41 14.876384 53.209526 -32.396515
42 15.509188 54.965462 -33.294571
43 29.872799 102.004585 -20.926651
44 30.502499 100.866219 -23.782480
45 13.310320 56.576294 -31.206661
46 13.567103 57.113255 -30.964052
47 15.128529 59.650185 -30.198374
48 34.866493 87.604874 -23.904640
49 34.870762 86.918320 -25.469816
50 14.603451 53.374889 -32.055504
51 38.102989 90.375603 -30.196987
52 34.515934 78.875687 -27.644699
53 42.698490 97.464027 -34.801491
54 13.899178 57.734005 -31.814806
55 14.052922 53.388092 -29.723482
56 14.682644 58.953590 -30.849611
57 18.099030 70.409767 -37.109711
58 13.592434 57.563774 -31.762457
59 13.228015 56.285240 -30.586990
60 15.560495 59.011780 -30.061541
61 13.629602 57.227398 -31.595598
62 17.917250 60.423157 -29.690401
63 17.999422 69.343384 -36.618027
64 19.981474 63.371410 -36.940536
65 16.759245 69.672089 -34.257645
66 13.185530 56.448631 -30.657816
67 13.947290 57.469349 -31.686640
68 17.980005 68.732796 -36.334404
69 17.954878 60.807274 -29.802454
70 17.869587 59.909721 -29.505516
71 17.715433 60.084427 -28.868502
72 13.085294 55.964344 -30.960041
73 19.688200 54.274815 -29.814325
74 21.067226 59.599667 -32.383209
75 30.080912 68.874306 -29.960932
76 18.933372 69.619194 -36.929577
77 16.125416 53.218357 -33.243183
78 20.954035 59.127659 -32.146408
79 20.203838 53.562321 -31.605337
80 21.372255 62.177044 -33.959278
81 23.912027 71.801041 -40.869667
82 43.805847 100.165924 -36.896992
83 19.704353 71.655937 -38.500622
84 13.751051 59.412849 -29.876881
85 20.005014 68.358788 -37.521442
86 38.219707 93.789314 -40.141861
87 22.566168 71.302605 -23.636415
88 32.789673 97.376625 -24.336897
89 28.655527 78.330109 -20.671318
90 22.369942 68.095818 -24.729105
91 12.988196 54.308212 -28.819357
92 31.112843 101.667244 -25.342825
93 30.563396 87.283638 -21.930460
94 13.045740 53.601505 -30.780602
95 14.685669 51.526611 -32.592388
96 14.646119 58.315571 -28.732391
97 21.886637 68.744438 -23.751663
98 22.078142 62.333771 -23.881857
99 30.575388 96.327362 -22.762985
100 30.516947 90.670830 -21.778439
101 18.410398 59.763107 -29.709621
102 34.086250 82.726532 -37.651932
103 13.962692 57.235714 -31.573021
104 16.033001 55.126701 -31.885874
105 13.670822 55.849102 -30.943655
106 15.479307 50.983269 -32.528175
107 19.470638 73.638725 -38.835178
108 17.871906 71.674080 -35.447956
109 16.026148 55.473297 -32.053894
110 18.449528 60.757320 -29.878607
111 19.618973 61.845562 -34.045223
112 25.584194 62.069424 -27.072405
113 18.226318 70.849899 -37.833572
114 21.312887 65.284843 -35.582344
115 21.565561 67.957481 -25.826918
116 22.909096 68.695877 -25.152151
117 31.266731 81.254829 -22.246286
118 36.420250 85.553429 -25.851883
119 17.508102 57.224133 -32.591549
120 22.260193 67.553276 -40.103714
121 22.704502 67.966621 -25.036119
122 17.839991 59.592258 -29.427137
123 16.613241 57.783180 -31.010859
124 13.931912 57.453793 -31.669176
125 13.919407 57.423412 -31.705166
126 17.849215 59.792656 -29.484322
127 17.859068 72.798073 -35.643959
128 16.132011 60.102539 -32.150082
129 38.802113 92.073746 -44.568878
130 17.876286 59.997726 -29.521040
131 40.055199 94.795418 -45.493935
132 39.831165 94.310806 -45.502258
133 15.192328 70.570854 -33.112801
134 16.868719 57.105431 -33.088001
135 27.854691 64.923805 -24.896654
136 21.353062 61.968838 -37.166939
137 29.684776 86.664062 -47.195869
138 16.537214 71.194389 -35.030022
139 17.886522 59.888290 -29.582745
140 31.359520 75.588341 -21.416662
141 30.334415 72.481964 -21.296074
142 33.060066 80.009239 -23.396263
143 17.213051 70.273445 -37.338428
144 17.418016 56.964706 -31.996876
145 19.544292 57.095757 -30.032635
146 18.601845 59.261856 -35.184196
147 27.779688 89.741867 -46.694580
148 27.658276 80.976585 -45.069675
149 23.618166 68.012062 -41.098488
150 21.509872 56.718216 -32.595142
151 18.389322 59.368042 -29.540771
152 20.239403 62.474422 -36.819645
153 18.381378 59.195515 -29.493483
154 20.194391 62.359859 -36.738979
155 17.769854 71.770401 -37.873375
156 40.019318 94.505867 -45.601620
157 17.635983 110.287140 -72.700806
158 32.691204 64.906982 -28.900021
159 19.312939 50.392738 -19.803162
160 19.631664 59.555279 -32.987625
161 26.591478 70.397614 -24.777672
162 21.438467 54.554939 -17.406178
163 14.194115 60.339291 -29.814621
164 35.355785 104.235695 -27.277439
165 27.431276 72.803871 -14.224977
166 13.686942 60.789108 -28.050760
167 13.386146 47.465221 -24.680546
168 36.098064 116.326744 -27.807714
169 32.569458 90.740433 -23.332191
170 21.048634 71.763527 -21.755285
171 21.544472 74.430679 -21.909992
172 23.619879 61.408031 -24.209166
173 17.261124 54.198360 -32.992847
174 42.419098 102.193298 -34.920170
175 32.278847 80.147293 -22.698004
176 32.014885 80.343697 -21.398058
177 18.656158 56.647972 -30.485527
178 33.923607 79.270210 -24.274973
179 27.350414 65.723587 -26.679140
180 35.232834 79.604454 -25.726425
181 34.837227 78.546227 -25.167921
182 18.958061 61.644688 -35.770504
183 37.277401 84.613876 -34.618542
184 19.478668 56.547764 -30.721317
185 24.135153 70.134132 -36.513641
186 38.553558 91.467964 -44.286617
187 19.430981 56.634724 -30.500492
188 25.185909 66.137627 -27.194731
189 27.039904 69.105301 -27.591473
190 24.885357 65.157181 -24.689934
191 19.571131 37.809071 -19.237410
192 21.897509 41.808426 -18.071817
193 18.982412 49.991055 -19.850306
194 18.088057 40.932133 -17.085415
195 19.440014 42.984493 -15.772105
196 20.527073 40.937061 -17.255058
197 21.072227 41.006702 -17.398228
198 20.618490 47.028824 -14.524996
199 20.106133 41.150391 -17.180492
200 21.860355 40.625210 -18.171581
201 22.470209 65.260071 -24.339865
202 32.167301 83.104568 -25.867752
203 20.342251 43.148685 -16.902357
204 20.445421 41.190506 -16.861158
205 21.540100 41.965000 -17.923698
206 28.783970 116.497841 -20.400085
207 30.251755 119.066528 -22.868446
208 19.550611 43.356766 -16.052725
209 19.882994 43.567291 -16.411858
210 19.609671 42.799965 -16.018753
211 35.766262 91.561089 -29.486643
212 20.840111 41.012371 -17.609884
213 21.375057 40.879333 -17.739429
214 29.250078 125.841324 -22.153742
215 27.021191 88.403099 -16.935057
216 13.041855 47.766022 -23.428827
217 25.997070 77.085922 -18.703604
218 12.984195 47.424316 -24.509302
219 26.877249 73.785751 -20.043406
220 17.981598 40.689182 -17.545259
221 19.880459 42.644279 -16.229689
222 37.290760 106.218536 -29.341730
223 19.093578 41.953648 -17.656683
224 20.391954 42.811066 -16.798304
225 16.399128 59.849567 -32.339573
226 18.934364 39.669277 -18.243443
227 20.391600 40.980705 -17.446115
228 20.671257 41.027950 -17.013132
229 21.874752 43.688431 -18.778757
230 19.057388 39.436646 -18.450573
231 21.561361 40.719589 -17.945265
232 22.633801 43.068542 -19.533768
233 21.898472 40.337105 -18.326883
234 19.496508 37.933754 -19.120842
235 19.125986 37.169930 -18.640463
236 17.227930 49.783752 -20.128460
237 22.024229 69.478706 -23.819950
238 20.672461 43.790405 -17.396782
239 11.907247 38.578594 -24.239090
240 20.242826 40.988148 -16.482821
241 20.166979 42.313183 -16.531708
242 12.032597 37.725723 -24.432682
243 21.713358 39.825226 -17.664263
244 18.797604 44.655048 -15.068491
245 33.359615 135.800278 -26.532013
246 19.125460 41.295616 -14.975200
247 19.530920 41.171200 -15.889375
248 19.639793 39.317780 -16.181139
249 11.647796 37.719391 -23.889927
250 12.179330 38.889080 -24.666637
251 20.682512 40.727200 -16.916134
252 22.196230 42.698608 -18.534039
253 22.471397 42.327694 -19.047077
254 21.998158 39.597031 -18.004025
255 15.344286 41.531170 -17.973997
256 15.773393 41.647446 -17.464478
257 15.642342 41.558414 -17.904604
258 17.352211 43.534954 -17.424047
259 18.927240 42.173588 -14.728312
260 19.419863 41.885139 -15.129778
261 33.928715 91.438560 -27.715515
262 19.454931 41.577126 -15.728254
263 19.900463 39.993893 -16.469677
264 19.859766 39.191925 -16.333260
265 12.198845 38.156460 -24.626165
266 21.163280 40.709190 -16.609716
267 21.834116 40.131729 -17.288223
268 22.443832 42.207150 -18.651207
269 13.007444 37.654911 -25.450687
270 11.911408 38.612358 -24.235123
271 15.368582 41.529335 -17.997103
272 12.156116 37.953239 -24.508062
273 11.921794 38.566437 -24.208998
274 24.300650 90.095802 -46.432297
275 25.677624 91.059212 -48.642147
276 15.235239 41.575485 -17.307287
277 20.472792 70.828773 -34.463207
278 22.698694 43.214375 -19.578459
279 21.652323 42.956417 -18.539917
280 18.932222 44.929474 -15.711399
281 11.554014 40.002159 -24.132240
282 36.883968 109.173416 -31.527353
283 19.945799 44.457737 -16.594650
284 11.098763 36.802799 -23.298277
285 19.999336 38.758671 -16.447750
286 11.638409 35.793232 -23.767160
287 16.634268 43.985287 -16.225689
288 18.253380 42.035076 -14.518296
289 17.988806 41.602421 -15.869488
290 11.133907 39.977623 -23.536648
291 19.047440 41.267395 -15.504580
292 11.448252 36.877800 -23.639395
293 11.977952 36.593391 -24.123306
294 21.985432 42.697071 -18.848013
295 20.038849 36.957443 -16.176737
296 22.733973 41.932384 -19.221012
297 20.692129 36.993168 -16.885975
298 20.346252 36.056240 -16.424004
299 16.784147 45.862087 -16.558615
300 18.291189 44.063412 -14.573671
301 18.300177 40.092110 -13.912591
302 18.434959 40.641434 -14.119958
303 18.350866 38.745693 -14.482003
304 18.917700 38.876465 -15.261939
305 11.350783 36.880402 -23.341999
306 17.497137 62.338799 -33.151829
307 21.456570 40.241642 -17.039433
308 20.262278 38.533653 -16.563282
309 19.814798 37.130207 -15.942993
310 20.860912 37.435318 -17.095407
311 20.337069 36.607513 -16.482714
312 11.598111 36.515175 -23.824411
313 12.060391 37.623272 -24.330181
314 11.146799 36.777451 -23.289967
315 12.079360 37.615551 -24.302687
316 12.327641 36.091888 -21.195522
317 12.309164 35.949112 -21.125105
318 11.647416 36.003933 -21.204769
319 11.727356 36.174511 -21.370625
320 33.214771 145.007385 -22.333580
321 33.016396 123.664597 -26.328047
322 41.058784 110.418518 -34.012085
323 23.736607 61.053249 -21.475327
324 21.298710 44.245525 -18.176189
325 23.754227 95.188515 -17.171139
326 29.575054 105.348740 -21.246826
327 17.087776 44.168949 -16.687366
328 12.802706 36.893707 -20.786812
329 17.433781 54.615170 -16.669357
330 18.247450 46.091644 -14.811565
331 30.257908 81.739075 -23.626152
332 9.865214 36.694683 -24.049328
333 10.403000 36.695755 -23.646612
334 10.708044 36.201946 -23.645500
335 10.803547 35.726105 -24.057230
336 11.173510 39.978817 -23.569706
337 21.676041 43.852898 -18.639259
338 11.019010 33.713608 -23.233706
339 14.590365 39.182251 -17.017504
340 8.249874 38.143757 -22.711287
341 11.146846 36.793518 -23.298191
342 14.544209 40.775040 -17.705997
343 9.856730 36.850033 -24.222527
344 8.303843 37.764732 -22.529030
345 11.242516 40.577644 -23.903753
346 11.919391 38.600124 -24.236233
347 31.822178 80.226120 -35.385891
348 33.404701 84.516937 -36.909470
349 23.197443 59.843658 -21.371439
350 27.904255 102.575859 -19.153391
351 25.453556 71.770592 -15.018814
352 12.749096 47.305973 -24.166372
353 27.477104 76.931175 -17.906324
354 12.499056 40.795929 -23.301216
355 17.811718 40.648052 -17.410860
356 14.805569 56.065914 -28.093819
357 19.291239 41.614349 -17.720045
358 21.697262 43.103245 -18.528423
359 22.059265 42.766289 -18.855505
360 17.005051 48.833565 -20.033379
361 18.857176 49.451271 -19.719101
362 17.338530 49.236935 -19.795422
363 22.145226 68.186005 -23.879309
364 17.269478 48.915813 -19.806438
365 17.423927 49.580673 -19.826992
366 21.770821 55.267406 -22.457899
367 32.778900 102.428856 -28.492271
368 11.217134 57.076469 -28.704268
369 11.167460 55.074741 -28.680468
370 12.155680 55.087402 -27.768433
371 15.172078 52.528484 -26.863060
372 36.917038 101.340065 -26.848566
373 13.869368 57.108551 -31.471563
374 14.187351 61.028328 -30.023697
375 13.189536 55.069912 -30.500532
376 11.539885 55.897636 -28.436409
377 13.962339 56.296238 -31.094965
378 11.612571 55.967644 -28.368837
379 11.490462 56.336704 -28.599636
380 17.461264 55.722366 -34.032848
381 17.439379 55.643349 -33.966930
382 22.632778 70.159782 -24.124229
383 19.591183 56.804863 -30.796677
384 24.851732 78.300034 -40.876003
385 22.030577 67.972740 -23.770552
386 27.606491 94.725357 -50.000366
387 34.461720 89.786186 -24.914204
388 34.454887 80.218819 -22.979715
389 21.822638 71.105820 -35.238766
390 25.969942 62.040771 -26.557034
391 21.305782 76.139725 -39.774094
392 30.373398 85.137550 -35.495125
393 26.341301 106.381004 -54.406528
394 22.816986 69.563011 -36.161743
395 26.249767 92.774460 -50.053070
396 25.164062 77.799347 -43.458923
397 32.959412 65.056129 -27.222046
398 19.372101 62.381565 -36.184772
399 20.171591 56.766228 -31.260244
400 20.159990 56.832897 -31.290270
401 20.149405 56.817993 -31.287046
402 25.948490 71.440445 -40.057529
403 35.345062 99.093903 -54.007309
404 39.514465 93.622932 -45.428345
405 38.918926 92.306313 -44.673420
406 20.080408 57.134506 -31.452414
407 -9.549814 337.018097 -160.090347
408 23.257599 69.612595 -36.465481
409 21.871975 68.960938 -39.070335
410 24.177305 69.206116 -36.397881
411 23.539146 67.388733 -40.848480
412 25.380728 77.681206 -43.624352
413 23.034634 101.774025 -55.299099
414 34.278870 92.319649 -49.402493
415 35.047401 103.640205 -55.055519
416 25.492779 70.906754 -29.258869
417 33.418476 74.712120 -23.077999
418 25.879200 62.091606 -27.363810
419 19.589903 71.898697 -38.502708
420 22.497028 102.144180 -52.964794
421 26.775425 64.669312 -29.261587
422 25.733265 92.853592 -49.246296
423 29.070055 96.716904 -46.460480
424 25.557442 69.354713 -39.016964
425 20.027018 69.629868 -37.949013
426 26.774942 64.637108 -28.860851
427 32.271111 83.878311 -36.728130
428 23.659086 73.898956 -41.506702
429 22.179758 67.582901 -40.069546
430 27.084351 72.966331 -41.035076
431 22.206581 67.423424 -39.951359
432 23.408117 66.801552 -40.493759
433 21.907303 67.358490 -36.897221
434 23.417559 66.985504 -40.648190
